id;customerId;orderDate;orderStatus
1;3;2017-03-07T14:15:13.830Z;6
2;3;2017-05-10T23:11:46.935Z;2
3;3;2017-07-03T16:19:56.653Z;1
4;3;2017-05-01T16:07:45.318Z;0
5;3;2017-11-03T06:02:36.018Z;6
6;3;2017-10-03T13:45:34.184Z;7
7;3;2017-12-08T12:26:29.444Z;6
8;3;2017-06-26T02:45:41.658Z;3
9;3;2017-04-19T17:25:44.459Z;4
10;3;2017-03-22T12:57:45.550Z;1
11;3;2017-11-07T04:06:56.792Z;1
12;3;2017-03-27T05:09:02.421Z;9
13;3;2017-08-22T22:41:47.766Z;2
14;3;2017-09-07T11:42:05.588Z;3
15;3;2017-12-28T15:41:30.206Z;1
16;3;2018-01-03T12:26:02.645Z;8
17;3;2017-03-24T05:44:46.307Z;6
18;3;2017-04-18T23:22:40.705Z;0
19;3;2017-03-05T10:16:56.734Z;9
20;3;2017-06-19T01:54:12.336Z;7
21;3;2017-08-13T03:46:14.511Z;5
22;3;2017-05-02T10:39:32.523Z;5
23;3;2017-08-11T20:22:09.876Z;6
24;3;2017-09-06T10:00:02.736Z;5
25;3;2017-12-18T06:38:38.192Z;2
26;3;2017-04-01T19:12:51.230Z;7
27;3;2017-08-28T11:46:39.216Z;8
28;3;2017-08-13T10:00:05.893Z;4
29;3;2018-01-25T12:36:05.490Z;9
30;3;2017-04-23T10:45:00.567Z;8
31;3;2017-06-28T13:24:40.499Z;7
32;3;2017-05-24T21:33:50.349Z;6
33;3;2017-07-05T15:49:07.310Z;2
34;3;2018-01-31T23:07:19.774Z;6
35;3;2017-12-12T13:18:38.803Z;5
36;3;2018-01-13T22:35:32.170Z;7
37;3;2017-11-15T20:49:38.889Z;0
38;3;2018-01-05T11:23:31.048Z;6
39;3;2017-08-02T02:50:06.693Z;4
40;3;2017-07-23T11:00:21.974Z;1
41;3;2017-08-11T04:41:56.432Z;1
42;3;2017-04-23T16:41:39.896Z;2
43;3;2017-10-25T12:09:15.267Z;7
44;3;2017-12-21T11:50:41.124Z;7
45;3;2017-07-10T18:56:16.834Z;0
46;3;2017-10-03T22:09:29.394Z;4
47;3;2017-03-11T07:35:33.635Z;6
48;3;2017-04-05T06:24:38.604Z;0
49;3;2017-03-02T17:05:50.871Z;4
50;3;2018-01-13T20:18:14.548Z;1
51;3;2017-09-05T13:34:11.072Z;6
52;3;2017-02-26T09:26:08.247Z;3
53;3;2017-04-13T06:04:10.173Z;2
54;3;2017-11-13T09:25:36.166Z;8
55;3;2018-02-07T01:50:55.518Z;4
56;3;2017-08-15T20:17:21.257Z;9
57;3;2018-01-09T06:50:59.560Z;2
58;3;2017-03-01T04:40:45.291Z;4
59;3;2017-08-03T14:54:42.448Z;2
60;3;2017-03-03T05:05:48.828Z;9
61;3;2017-08-02T22:33:50.369Z;2
62;3;2017-05-03T12:24:09.538Z;0
63;3;2017-10-27T17:48:16.329Z;3
64;3;2017-12-13T15:23:59.696Z;1
65;3;2017-12-20T21:59:10.417Z;4
66;3;2017-06-25T12:31:16.852Z;8
67;3;2017-05-03T02:22:30.738Z;9
68;3;2017-05-10T08:51:08.591Z;7
69;3;2017-07-26T17:12:20.016Z;6
70;3;2017-10-06T10:19:31.728Z;4
71;3;2017-10-21T02:16:10.791Z;1
72;3;2017-10-23T01:44:46.409Z;7
73;3;2017-10-15T18:31:35.758Z;6
74;3;2018-01-04T15:06:02.873Z;0
75;3;2017-07-15T00:07:03.450Z;1
76;3;2018-01-06T16:25:36.724Z;4
77;3;2017-05-09T02:41:17.205Z;1
78;3;2017-05-04T06:09:59.241Z;3
79;3;2017-08-11T19:52:13.888Z;2
80;3;2017-04-23T08:12:57.753Z;0
81;3;2017-07-17T17:34:41.175Z;8
82;3;2017-10-27T08:33:48.630Z;4
83;3;2017-05-27T05:26:27.601Z;6
84;3;2017-04-15T18:35:31.397Z;3
85;3;2017-07-05T23:11:23.675Z;4
86;3;2017-05-31T13:05:01.687Z;0
87;3;2017-06-11T15:13:51.293Z;1
88;3;2017-05-04T23:17:47.363Z;7
89;3;2017-06-24T18:12:27.221Z;3
90;3;2017-12-25T14:38:36.362Z;6
91;3;2017-08-14T20:26:06.104Z;8
92;3;2017-04-02T06:52:42.589Z;8
93;3;2017-10-15T10:11:29.894Z;2
94;3;2017-12-04T03:59:41.916Z;5
95;3;2017-10-19T17:07:03.053Z;2
96;3;2017-08-30T09:52:54.296Z;5
97;3;2017-04-06T00:57:42.358Z;7
98;3;2017-06-08T00:25:18.995Z;4
99;2;2017-10-26T06:17:22.732Z;9
100;2;2017-07-22T18:31:46.519Z;4
101;2;2017-03-23T16:35:51.727Z;1
102;2;2017-10-03T01:29:03.447Z;9
103;2;2017-08-30T07:40:10.184Z;7
104;2;2017-07-11T13:47:20.072Z;0
105;2;2017-11-22T18:48:52.784Z;9
106;2;2018-01-08T05:13:38.906Z;3
107;2;2017-08-11T12:47:47.914Z;6
108;2;2017-09-15T13:22:06.132Z;5
109;2;2017-05-11T20:34:28.189Z;3
110;2;2017-09-06T17:58:35.010Z;9
111;2;2018-01-30T20:50:14.964Z;4
112;2;2017-03-24T19:13:06.798Z;2
113;2;2017-12-22T19:16:36.687Z;6
114;2;2017-10-02T07:15:58.568Z;0
115;2;2017-08-03T01:57:02.342Z;6
116;2;2018-01-02T11:35:29.999Z;2
117;2;2017-05-27T00:08:19.479Z;1
118;2;2017-12-13T06:09:09.206Z;3
119;2;2017-08-24T15:47:53.150Z;4
120;2;2017-05-31T10:55:09.277Z;5
121;2;2017-02-16T21:18:35.401Z;1
122;2;2017-12-14T15:41:49.756Z;1
123;2;2018-02-02T07:53:19.731Z;8
124;2;2017-11-15T10:24:41.258Z;5
125;2;2017-08-28T00:01:43.810Z;2
126;2;2017-06-17T07:13:14.242Z;5
127;2;2017-06-01T04:39:42.308Z;2
128;2;2017-07-17T22:28:56.549Z;4
129;2;2017-12-08T07:34:19.026Z;0
