Image;_id;color;price;priceDate;productName
http://dummyimage.com/122x225.jpg/cc0000/ffffff;1;Turquoise;56.92;2017-07-03T06:42:37.000Z;Cup - 8oz Coffee Perforated
http://dummyimage.com/174x248.bmp/dddddd/000000;2;Goldenrod;31.34;2017-12-21T14:34:16.000Z;Milk 2% 500 Ml
http://dummyimage.com/169x225.jpg/5fa2dd/ffffff;3;Goldenrod;74.08;2017-03-19T18:23:48.000Z;Extract - Vanilla,artificial
http://dummyimage.com/133x128.png/dddddd/000000;4;Violet;36.95;2017-04-04T06:02:47.000Z;Coconut - Whole
http://dummyimage.com/250x163.bmp/5fa2dd/ffffff;5;Maroon;24.3;2017-03-09T13:52:04.000Z;Lid Tray - 12in Dome
http://dummyimage.com/176x221.jpg/cc0000/ffffff;6;Teal;94.93;2017-11-12T00:18:42.000Z;Cookie Dough - Double
http://dummyimage.com/150x189.jpg/5fa2dd/ffffff;7;Khaki;85.98;2017-04-17T09:22:34.000Z;Cups 10oz Trans
http://dummyimage.com/170x244.png/cc0000/ffffff;8;Purple;23.84;2017-12-16T19:06:41.000Z;Beef - Bones, Cut - Up
http://dummyimage.com/146x159.bmp/cc0000/ffffff;9;Fuscia;24.18;2017-07-21T18:10:38.000Z;Bay Leaf Fresh
http://dummyimage.com/194x227.jpg/ff4444/ffffff;10;Turquoise;98.66;2017-10-10T02:53:10.000Z;Wine - Touraine Azay - Le - Rideau
http://dummyimage.com/114x245.jpg/5fa2dd/ffffff;11;Turquoise;92.6;2017-12-26T08:39:42.000Z;Extract - Rum
http://dummyimage.com/120x197.jpg/ff4444/ffffff;12;Purple;46.63;2017-11-28T06:16:38.000Z;Vol Au Vents
http://dummyimage.com/190x185.bmp/5fa2dd/ffffff;13;Orange;32.86;2017-06-30T16:01:57.000Z;Hog / Sausage Casing - Pork
http://dummyimage.com/190x185.png/cc0000/ffffff;14;Red;25.91;2017-02-10T17:52:19.000Z;Piping - Bags Quizna
http://dummyimage.com/144x201.bmp/cc0000/ffffff;15;Pink;49.44;2017-10-15T21:26:34.000Z;Buffalo - Tenderloin
http://dummyimage.com/190x184.jpg/5fa2dd/ffffff;16;Red;50.39;2017-07-03T06:19:42.000Z;Pears - Fiorelle
http://dummyimage.com/151x123.png/5fa2dd/ffffff;17;Purple;54.24;2017-04-24T21:26:15.000Z;Wine - Jafflin Bourgongone
http://dummyimage.com/193x193.bmp/cc0000/ffffff;18;Violet;57.41;2017-09-01T04:16:47.000Z;Clam - Cherrystone
http://dummyimage.com/100x218.bmp/5fa2dd/ffffff;19;Mauv;76.82;2017-06-15T19:21:28.000Z;Taro Leaves
http://dummyimage.com/110x233.png/dddddd/000000;20;Green;80.88;2018-01-20T06:27:32.000Z;Duck - Whole
http://dummyimage.com/209x165.png/dddddd/000000;21;Yellow;37.46;2017-03-01T16:32:58.000Z;Coffee Beans - Chocolate
http://dummyimage.com/234x125.png/5fa2dd/ffffff;22;Purple;67.31;2017-12-20T22:49:30.000Z;Wakami Seaweed
http://dummyimage.com/104x246.png/dddddd/000000;23;Aquamarine;26.95;2017-12-01T23:36:08.000Z;Dikon
http://dummyimage.com/246x101.jpg/ff4444/ffffff;24;Blue;95.23;2017-12-16T02:37:17.000Z;Pasta - Lasagne, Fresh
http://dummyimage.com/185x183.png/5fa2dd/ffffff;25;Puce;69.7;2017-02-07T10:57:40.000Z;Mushroom - King Eryingii
http://dummyimage.com/226x199.png/5fa2dd/ffffff;26;Green;28.59;2017-10-06T00:31:33.000Z;Wine - Penfolds Koonuga Hill
http://dummyimage.com/116x207.jpg/ff4444/ffffff;27;Yellow;11.17;2017-09-20T04:34:53.000Z;Soup V8 Roasted Red Pepper
http://dummyimage.com/187x152.png/ff4444/ffffff;28;Blue;82.53;2017-10-22T23:42:11.000Z;Longos - Lasagna Beef
http://dummyimage.com/169x170.bmp/dddddd/000000;29;Pink;5.83;2017-07-16T22:02:43.000Z;Pepper - Gypsy Pepper
http://dummyimage.com/168x230.png/dddddd/000000;30;Puce;4.44;2017-08-08T02:57:59.000Z;Compound - Rum
http://dummyimage.com/232x239.jpg/dddddd/000000;31;Khaki;63.85;2017-05-12T19:12:48.000Z;Pears - Anjou
http://dummyimage.com/247x102.jpg/ff4444/ffffff;32;Puce;55.69;2017-10-14T02:29:52.000Z;Ham - Cooked Italian
http://dummyimage.com/220x203.jpg/ff4444/ffffff;33;Khaki;67.98;2017-04-03T04:58:40.000Z;Wine - Sawmill Creek Autumn
http://dummyimage.com/103x230.jpg/cc0000/ffffff;34;Maroon;6.99;2017-09-23T22:06:49.000Z;Wine - Riesling Alsace Ac 2001
http://dummyimage.com/197x216.bmp/5fa2dd/ffffff;35;Orange;56.26;2017-06-24T22:33:27.000Z;Cookies - Amaretto
http://dummyimage.com/144x159.png/dddddd/000000;36;Khaki;75.58;2017-10-21T21:59:51.000Z;Pasta - Tortellini, Fresh
http://dummyimage.com/204x136.jpg/dddddd/000000;37;Mauv;55.88;2017-02-22T09:20:32.000Z;Egg Patty Fried
http://dummyimage.com/157x220.jpg/5fa2dd/ffffff;38;Red;3.92;2017-03-29T14:12:16.000Z;Cake - Sheet Strawberry
http://dummyimage.com/166x112.png/cc0000/ffffff;39;Teal;2.08;2017-11-14T17:21:19.000Z;Pork - Bacon Cooked Slcd
http://dummyimage.com/228x146.bmp/ff4444/ffffff;40;Teal;20.49;2017-04-14T09:45:42.000Z;Juice - Ocean Spray Cranberry
http://dummyimage.com/212x170.png/dddddd/000000;41;Maroon;91.59;2018-01-16T01:19:42.000Z;Sugar - Palm
http://dummyimage.com/130x185.jpg/dddddd/000000;42;Goldenrod;89.2;2017-10-27T02:09:09.000Z;Cinnamon - Ground
http://dummyimage.com/119x182.bmp/cc0000/ffffff;43;Teal;45.2;2017-07-10T11:01:21.000Z;Beets - Mini Golden
http://dummyimage.com/195x124.bmp/ff4444/ffffff;44;Indigo;32.81;2017-08-09T05:17:17.000Z;Appetiser - Bought
http://dummyimage.com/212x244.bmp/5fa2dd/ffffff;45;Teal;96.4;2017-03-08T02:04:09.000Z;Chicken - Base
http://dummyimage.com/205x221.png/ff4444/ffffff;46;Red;83.16;2018-01-24T17:12:15.000Z;Flour - Semolina
http://dummyimage.com/175x148.png/cc0000/ffffff;47;Green;81.87;2018-01-03T03:19:17.000Z;Liquid Aminios Acid - Braggs
http://dummyimage.com/120x190.bmp/ff4444/ffffff;48;Green;61.05;2017-09-14T05:18:20.000Z;Nut - Pistachio, Shelled
http://dummyimage.com/176x213.png/ff4444/ffffff;49;Violet;40.07;2017-05-13T17:35:26.000Z;Sauce - Soy Low Sodium - 3.87l
http://dummyimage.com/120x158.jpg/ff4444/ffffff;50;Crimson;59.31;2017-06-18T13:06:22.000Z;Tart Shells - Barquettes, Savory
http://dummyimage.com/212x132.jpg/ff4444/ffffff;51;Aquamarine;60.71;2017-04-25T09:17:39.000Z;Appetizer - Smoked Salmon / Dill
http://dummyimage.com/140x143.jpg/dddddd/000000;52;Blue;12.93;2017-08-10T12:49:20.000Z;Tortillas - Flour, 10
